state,county,total_population,percent_homeowners,percent_below_poverty,percent_fair_or_poor_health,percent_frequent_physical_distress,percent_adults_with_obesity,percent_frequent_mental_distress,percent_minorities,percent_insufficient_sleep,per_capita_income,percent_no_highschool_diploma,percent_unemployed_CDC,percent_excessive_drinking_cat,population_density_per_sqmi_cat
Kansas,Kingman,7697,78.7447428,8.8,13.39138953,9.272425165,31.5,10.26273984,5.8,29.55262492,28911.0,8.3,5.5,high,under_populated
Kansas,Grant,7748,78.04783951,11.3,17.53502854,10.24149599,31.6,10.38102491,47.2,29.8040847,24173.0,29.7,5.0,high,under_populated
Kansas,Shawnee,178567,64.80136634,14.5,16.94550031,10.53230324,36.7,11.36453933,25.2,30.40024075,27534.0,8.9,6.0,high,extremely_populated
Kansas,Sedgwick,508221,63.62990923,15.0,16.07741611,10.88620573,33.6,12.46409865,31.0,33.64660873,26672.0,11.0,6.0,high,extremely_populated
Kansas,Johnson,572428,69.12377012,6.0,9.271984485,7.15045519,27.1,8.704632032,19.1,25.11579406,41415.0,4.2,4.1,high,extremely_populated
Kentucky,Robertson,2191,78.8248337,24.4,24.90134307,16.84067061,26.9,16.85287885,3.7,37.21581887,22702.0,25.1,5.8,low,under_populated
Kentucky,Owsley,4552,69.77163462,37.1,26.61317772,17.69093039,46.3,17.61139559,6.0,39.8037822,16533.0,29.8,8.4,low,under_populated
Kentucky,Hickman,4691,80.91644205,16.8,25.04504947,16.65075064,29.6,16.73743256,12.6,37.84792163,18416.0,24.8,7.2,low,under_populated
Kentucky,Hart,18510,73.47832034,24.2,23.94125556,16.40231911,30.7,16.19105588,8.2,39.05723728,19566.0,25.4,6.9,low,under_populated
Kentucky,Harrison,18629,69.25444118,19.0,20.4422572,14.0928657,35.8,14.51209158,6.1,37.58543234,22024.0,17.8,6.9,low,under_populated
Kentucky,Adair,19156,76.25356125,23.3,22.84861407,15.6587549,40.9,15.91986064,6.5,36.40911143,18463.0,24.0,5.8,low,under_populated
Kentucky,Marion,19497,72.7492285,19.1,23.56897566,15.63252819,36.9,15.59065986,12.2,37.6611984,20450.0,19.3,8.7,low,under_populated
Kentucky,Breckinridge,20000,78.48859935,17.1,21.57243153,14.50365611,24.6,14.87002118,5.3,38.09536925,19984.0,20.3,10.3,low,under_populated
Kentucky,Kenton,163393,65.76681516,13.6,15.9736822,12.27072926,33.2,13.11730818,10.9,34.86044079,28785.0,10.7,6.5,very high,extremely_populated
Kentucky,Fayette,311529,54.47882863,18.9,17.52916931,12.98015066,26.7,13.73683891,27.9,38.26613539,30502.0,10.1,6.4,high,extremely_populated
Kentucky,Jefferson,759724,61.65900786,16.0,20.807404,13.36995017,32.2,13.27608129,30.9,35.94467663,29758.0,10.7,7.2,high,extremely_populated
Louisiana,Tensas,4793,66.1369863,33.8,34.95535372,21.36628115,30.7,21.0132251,57.9,42.16385354,16171.0,23.3,15.0,low,under_populated
Louisiana,Cameron,6739,86.97571744,8.9,16.82358723,12.59045279,35.1,13.99342268,7.3,32.16143619,31007.0,16.5,3.5,high,under_populated
Louisiana,East Carroll,7419,48.76915931,48.7,37.46227657,22.02086334,40.0,20.59838651,73.3,44.88739646,11133.0,29.6,11.5,low,under_populated
Louisiana,Jefferson Davis,31399,71.58507956,19.6,19.51182756,14.17662071,40.8,15.62915563,21.5,33.39793557,22665.0,21.0,8.5,high,under_populated
